Gene Name,Combinations,Diseases,ICD-10 ID,Partner Genes
LRP5,OLI185,Retinitis pigmentosa,H35.5,EYS; LRP5
EYS,OLI185,Retinitis pigmentosa,H35.5,EYS; LRP5
HFE,OLI186,Rare hereditary hemochromatosis,E83.1,HAMP; HFE
HAMP,OLI186,Rare hereditary hemochromatosis,E83.1,HAMP; HFE
HAMP,OLI187,Rare hereditary hemochromatosis,E83.1,HAMP; HFE
HFE,OLI187,Rare hereditary hemochromatosis,E83.1,HAMP; HFE
OGG1,OLI188,Colorectal cancer,N.A.,MUTYH; OGG1
MUTYH,OLI188,Colorectal cancer,N.A.,MUTYH; OGG1
LMNA,OLI189,Emery-Dreifuss muscular dystrophy,G71.0,EMD; LMNA
EMD,OLI189,Emery-Dreifuss muscular dystrophy,G71.0,EMD; LMNA
LMNA,OLI190,Emery-Dreifuss muscular dystrophy,G71.0,DES; LMNA
DES,OLI190,Emery-Dreifuss muscular dystrophy,G71.0,DES; LMNA
PCARE,OLI191,Syndromic inherited retinal disorder,N.A.,PCARE; RP1L1
PCARE,OLI191,Syndromic rod-cone dystrophy,N.A.,PCARE; RP1L1
RP1L1,OLI191,Syndromic inherited retinal disorder,N.A.,PCARE; RP1L1
RP1L1,OLI191,Syndromic rod-cone dystrophy,N.A.,PCARE; RP1L1
GJB2,OLI192,Non-syndromic genetic deafness,H90.5,GJB2; GJB3
GJB3,OLI192,Non-syndromic genetic deafness,H90.5,GJB2; GJB3
GJB3,OLI193,Non-syndromic genetic deafness,H90.5,GJB2; GJB3
GJB2,OLI193,Non-syndromic genetic deafness,H90.5,GJB2; GJB3
GJB3,OLI194,Non-syndromic genetic deafness,H90.5,GJB2; GJB3
GJB2,OLI194,Non-syndromic genetic deafness,H90.5,GJB2; GJB3
GNRHR,OLI195,Normosmic congenital hypogonadotropic hypogonadism,E23.0,FGFR1; GNRHR
GNRHR,OLI195,Isolated congenital hypogonadotropic hypogonadism,E23.0,FGFR1; GNRHR
FGFR1,OLI195,Normosmic congenital hypogonadotropic hypogonadism,E23.0,FGFR1; GNRHR
FGFR1,OLI195,Isolated congenital hypogonadotropic hypogonadism,E23.0,FGFR1; GNRHR
FGFR1,OLI196,Normosmic congenital hypogonadotropic hypogonadism,E23.0,FGFR1; PROKR2
PROKR2,OLI196,Normosmic congenital hypogonadotropic hypogonadism,E23.0,FGFR1; PROKR2
FGFR1,OLI197,Normosmic congenital hypogonadotropic hypogonadism,E23.0,FGF8; FGFR1
FGF8,OLI197,Normosmic congenital hypogonadotropic hypogonadism,E23.0,FGF8; FGFR1
GNRHR,OLI198,Normosmic congenital hypogonadotropic hypogonadism,E23.0,FGFR1; GNRHR
FGFR1,OLI198,Normosmic congenital hypogonadotropic hypogonadism,E23.0,FGFR1; GNRHR
GNRHR,OLI199,Isolated congenital hypogonadotropic hypogonadism,E23.0,FGFR1; GNRHR
GNRHR,OLI199,Normosmic congenital hypogonadotropic hypogonadism,E23.0,FGFR1; GNRHR
FGFR1,OLI199,Isolated congenital hypogonadotropic hypogonadism,E23.0,FGFR1; GNRHR
FGFR1,OLI199,Normosmic congenital hypogonadotropic hypogonadism,E23.0,FGFR1; GNRHR
TRIM63,OLI200,"Familial isolated hypertrophic cardiomyopathy,Progressive Skeletal Myopathy",N.A.,TRIM54; TRIM63
TRIM54,OLI200,"Familial isolated hypertrophic cardiomyopathy,Progressive Skeletal Myopathy",N.A.,TRIM54; TRIM63
GNRHR,OLI201,Normosmic congenital hypogonadotropic hypogonadism,E23.0,GNRHR; PROK2
PROK2,OLI201,Normosmic congenital hypogonadotropic hypogonadism,E23.0,GNRHR; PROK2
SCN5A,OLI202,Romano-Ward syndrome,I45.8,KCNQ1; SCN5A
KCNQ1,OLI202,Romano-Ward syndrome,I45.8,KCNQ1; SCN5A
HNF4A,OLI203,MODY,E13,HNF1A; HNF4A
HNF1A,OLI203,MODY,E13,HNF1A; HNF4A
PROKR2,OLI204,Kallmann syndrome,E23.0,FGFR1; PROKR2
FGFR1,OLI204,Kallmann syndrome,E23.0,FGFR1; PROKR2
ANOS1,OLI205,Kallmann syndrome,E23.0,ANOS1; PROKR2
PROKR2,OLI205,Kallmann syndrome,E23.0,ANOS1; PROKR2
ANOS1,OLI206,Kallmann syndrome,E23.0,ANOS1; PROKR2
PROKR2,OLI206,Kallmann syndrome,E23.0,ANOS1; PROKR2
GNRHR,OLI207,Kallmann syndrome,E23.0,GNRHR; PROKR2
PROKR2,OLI207,Kallmann syndrome,E23.0,GNRHR; PROKR2
KISS1R,OLI208,Kallmann syndrome,E23.0,KISS1R; PROKR2
PROKR2,OLI208,Kallmann syndrome,E23.0,KISS1R; PROKR2
PINK1,OLI209,Young-onset Parkinson disease,G20,PARK7; PINK1
PARK7,OLI209,Young-onset Parkinson disease,G20,PARK7; PINK1
MFN2,OLI210,Charcot-Marie-Tooth disease/Hereditary motor and sensory neuropathy,G60.0,GDAP1; MFN2
GDAP1,OLI210,Charcot-Marie-Tooth disease/Hereditary motor and sensory neuropathy,G60.0,GDAP1; MFN2
NPHP1,OLI211,Nephronophthisis,Q61.5,NPHP1; NPHP3
NPHP1,OLI211,Retinitis pigmentosa,H35.5,NPHP1; NPHP3
NPHP3,OLI211,Nephronophthisis,Q61.5,NPHP1; NPHP3
NPHP3,OLI211,Retinitis pigmentosa,H35.5,NPHP1; NPHP3
NPHP3,OLI212,Nephronophthisis,Q61.5,NPHP3; NPHP4
NPHP4,OLI212,Nephronophthisis,Q61.5,NPHP3; NPHP4
NPHP3,OLI213,Nephronophthisis,Q61.5,NPHP3; NPHP4
NPHP4,OLI213,Nephronophthisis,Q61.5,NPHP3; NPHP4
INVS,OLI214,Nephronophthisis,Q61.5,INVS; NPHP3
NPHP3,OLI214,Nephronophthisis,Q61.5,INVS; NPHP3
CC2D2A,OLI215,Meckel syndrome,Q61.9,CC2D2A; NPHP3
NPHP3,OLI215,Meckel syndrome,Q61.9,CC2D2A; NPHP3
CC2D2A,OLI216,Meckel syndrome,Q61.9,CC2D2A; PKHD1
PKHD1,OLI216,Meckel syndrome,Q61.9,CC2D2A; PKHD1
OCA2,OLI217,Ocular albinism,E70.3,OCA2; TYR
TYR,OLI217,Ocular albinism,E70.3,OCA2; TYR
KCNH2,OLI218,Familial long QT syndrome,I45.8,KCNE2; KCNH2
KCNE2,OLI218,Familial long QT syndrome,I45.8,KCNE2; KCNH2
IFNAR1,OLI219,Primary immunodeficiency,N.A.,IFNAR1; IFNGR2
IFNGR2,OLI219,Primary immunodeficiency,N.A.,IFNAR1; IFNGR2
OCA2,OLI220,Ocular albinism,E70.3,OCA2; TYR
TYR,OLI220,Ocular albinism,E70.3,OCA2; TYR
RANBP2,OLI221,Familial acute necrotizing encephalopathy,N.A.,CPT2; RANBP2
CPT2,OLI221,Familial acute necrotizing encephalopathy,N.A.,CPT2; RANBP2
PRPH2,OLI222,Retinitis pigmentosa,H35.5,PRPH2; ROM1
ROM1,OLI222,Retinitis pigmentosa,H35.5,PRPH2; ROM1
ROM1,OLI223,Retinitis pigmentosa,H35.5,PRPH2; ROM1
PRPH2,OLI223,Retinitis pigmentosa,H35.5,PRPH2; ROM1
BBS2,OLI224,Bardet-Biedl syndrome,Q87.8,BBS2; MKKS
MKKS,OLI224,Bardet-Biedl syndrome,Q87.8,BBS2; MKKS
BBS2,OLI225,Bardet-Biedl syndrome,Q87.8,BBS2; MKKS
MKKS,OLI225,Bardet-Biedl syndrome,Q87.8,BBS2; MKKS
BBS2,OLI226,Bardet-Biedl syndrome,Q87.8,BBS2; MKKS
MKKS,OLI226,Bardet-Biedl syndrome,Q87.8,BBS2; MKKS
MAN1B1,OLI227,"Global developmental delay,Hypertelorism,Intellectual disability,Macrocephaly,Tall Stature",N.A.,MAN1B1; SEC23A
SEC23A,OLI227,"Global developmental delay,Hypertelorism,Intellectual disability,Macrocephaly,Tall Stature",N.A.,MAN1B1; SEC23A
PRKN,OLI228,Parkinson disease,N.A.,PINK1; PRKN
PINK1,OLI228,Parkinson disease,N.A.,PINK1; PRKN
PRKN,OLI229,Parkinson disease,N.A.,PINK1; PRKN
PINK1,OLI229,Parkinson disease,N.A.,PINK1; PRKN
PINK1,OLI230,Parkinson disease,N.A.,PINK1; PRKN
PRKN,OLI230,Parkinson disease,N.A.,PINK1; PRKN
LAMA4,OLI231,Hypertrophic cardiomyopathy,N.A.,LAMA4; PKP2; TTN
PKP2,OLI231,Hypertrophic cardiomyopathy,N.A.,LAMA4; PKP2; TTN
TTN,OLI231,Hypertrophic cardiomyopathy,N.A.,LAMA4; PKP2; TTN
ABCC9,OLI232,Rubinstein-Taybi syndrome,Q87.2,ABCC9; TTN
ABCC9,OLI232,Left ventricular noncompaction,N.A.,ABCC9; TTN
TTN,OLI232,Rubinstein-Taybi syndrome,Q87.2,ABCC9; TTN
TTN,OLI232,Left ventricular noncompaction,N.A.,ABCC9; TTN
TTN,OLI233,Hypertrophic cardiomyopathy,N.A.,DSP; TTN
DSP,OLI233,Hypertrophic cardiomyopathy,N.A.,DSP; TTN
MYH7,OLI234,Hypertrophic cardiomyopathy,N.A.,MYH7; NEXN
NEXN,OLI234,Hypertrophic cardiomyopathy,N.A.,MYH7; NEXN
RBM20,OLI235,Dilated cardiomyopathy,I42.0,MYH7; RBM20
MYH7,OLI235,Dilated cardiomyopathy,I42.0,MYH7; RBM20
TTN,OLI236,Dilated cardiomyopathy,I42.0,DSP; TTN
DSP,OLI236,Dilated cardiomyopathy,I42.0,DSP; TTN
TTN,OLI237,Hypertrophic cardiomyopathy,N.A.,NEXN; TTN
NEXN,OLI237,Hypertrophic cardiomyopathy,N.A.,NEXN; TTN
BMPR2,OLI238,Pulmonary arterial hypertension,N.A.,BMPR2; KCNA5
BMPR2,OLI238,Heritable pulmonary arterial hypertension,I27.0,BMPR2; KCNA5
KCNA5,OLI238,Pulmonary arterial hypertension,N.A.,BMPR2; KCNA5
KCNA5,OLI238,Heritable pulmonary arterial hypertension,I27.0,BMPR2; KCNA5
SIX1,OLI239,Renal hypoplasia,Q60.5,PAX2; SIX1
PAX2,OLI239,Renal hypoplasia,Q60.5,PAX2; SIX1
KRT5,OLI240,Epidermolysis bullosa simplex,Q81.0,KRT14; KRT5
KRT14,OLI240,Epidermolysis bullosa simplex,Q81.0,KRT14; KRT5
SLC26A4,OLI241,Pendred syndrome,E07.1,KCNJ10; SLC26A4
KCNJ10,OLI241,Pendred syndrome,E07.1,KCNJ10; SLC26A4
KCNJ10,OLI242,Pendred syndrome,E07.1,KCNJ10; SLC26A4
SLC26A4,OLI242,Pendred syndrome,E07.1,KCNJ10; SLC26A4
CEP152,OLI243,Seckel syndrome,Q87.1,CDK5RAP2; CEP152
CDK5RAP2,OLI243,Seckel syndrome,Q87.1,CDK5RAP2; CEP152
CEP290,OLI244,Joubert syndrome,Q04.3,CEP290; CEP41
CEP41,OLI244,Joubert syndrome,Q04.3,CEP290; CEP41
KIF7,OLI245,Joubert syndrome,Q04.3,CEP41; KIF7
CEP41,OLI245,Joubert syndrome,Q04.3,CEP41; KIF7
CEP41,OLI246,Joubert syndrome,Q04.3,CC2D2A; CEP41
CC2D2A,OLI246,Joubert syndrome,Q04.3,CC2D2A; CEP41
CEP41,OLI247,Joubert syndrome,Q04.3,CC2D2A; CEP41
CC2D2A,OLI247,Joubert syndrome,Q04.3,CC2D2A; CEP41
DPT,OLI248,Congenital glaucoma,Q15.0,DPT; FOXC1; NFATC1
DPT,OLI248,Rare congenital non-syndromic heart malformation,N.A.,DPT; FOXC1; NFATC1
NFATC1,OLI248,Congenital glaucoma,Q15.0,DPT; FOXC1; NFATC1
NFATC1,OLI248,Rare congenital non-syndromic heart malformation,N.A.,DPT; FOXC1; NFATC1
FOXC1,OLI248,Congenital glaucoma,Q15.0,DPT; FOXC1; NFATC1
FOXC1,OLI248,Rare congenital non-syndromic heart malformation,N.A.,DPT; FOXC1; NFATC1
FOXC1,OLI249,Congenital glaucoma,Q15.0,DPT; FOXC1
DPT,OLI249,Congenital glaucoma,Q15.0,DPT; FOXC1
KRT14,OLI250,Epidermolysis bullosa simplex,Q81.0,KRT14; KRT5
KRT5,OLI250,Epidermolysis bullosa simplex,Q81.0,KRT14; KRT5
GJB2,OLI251,Non-syndromic genetic deafness,H90.5,GJB2; MITF
MITF,OLI251,Non-syndromic genetic deafness,H90.5,GJB2; MITF
GJB2,OLI252,Non-syndromic genetic deafness,H90.5,GJB2; GJB3
GJB3,OLI252,Non-syndromic genetic deafness,H90.5,GJB2; GJB3
FOXC1,OLI253,Axenfeld-Rieger syndrome,Q13.8,FOXC1; PITX2
PITX2,OLI253,Axenfeld-Rieger syndrome,Q13.8,FOXC1; PITX2
ADGRV1,OLI254,Non-syndromic genetic deafness,H90.5,ADGRV1; PDZD7
PDZD7,OLI254,Non-syndromic genetic deafness,H90.5,ADGRV1; PDZD7
NPHS2,OLI255,Congenital nephrotic syndrome,N.A.,NPHS1; NPHS2
NPHS1,OLI255,Congenital nephrotic syndrome,N.A.,NPHS1; NPHS2
NPHS1,OLI256,Congenital nephrotic syndrome,N.A.,NPHS1; NPHS2
NPHS2,OLI256,Congenital nephrotic syndrome,N.A.,NPHS1; NPHS2
NPHS1,OLI257,Congenital nephrotic syndrome,N.A.,NPHS1; NPHS2
NPHS2,OLI257,Congenital nephrotic syndrome,N.A.,NPHS1; NPHS2
HERC2,OLI258,Central precocious puberty,E22.8,HERC2; NOTCH2
NOTCH2,OLI258,Central precocious puberty,E22.8,HERC2; NOTCH2
MYO7A,OLI259,Usher syndrome type 1,H35.5,MYO7A; PCDH15
PCDH15,OLI259,Usher syndrome type 1,H35.5,MYO7A; PCDH15
USH1G,OLI260,Usher syndrome type 1,H35.5,PCDH15; USH1G
PCDH15,OLI260,Usher syndrome type 1,H35.5,PCDH15; USH1G
MYO7A,OLI261,Usher syndrome type 1,H35.5,CDH23; MYO7A
CDH23,OLI261,Usher syndrome type 1,H35.5,CDH23; MYO7A
MYO7A,OLI262,Usher syndrome type 1,H35.5,CDH23; MYO7A
CDH23,OLI262,Usher syndrome type 1,H35.5,CDH23; MYO7A
USH1C,OLI263,Usher syndrome type 1,H35.5,CDH23; USH1C
CDH23,OLI263,Usher syndrome type 1,H35.5,CDH23; USH1C
CA2,OLI264,"Osteopetrosis,Mental retardation,Short stature,Spastic paraparesis",N.A.,CA2; LARP7; MCCC2; SPG11
SPG11,OLI264,"Osteopetrosis,Mental retardation,Short stature,Spastic paraparesis",N.A.,CA2; LARP7; MCCC2; SPG11
LARP7,OLI264,"Osteopetrosis,Mental retardation,Short stature,Spastic paraparesis",N.A.,CA2; LARP7; MCCC2; SPG11
MCCC2,OLI264,"Osteopetrosis,Mental retardation,Short stature,Spastic paraparesis",N.A.,CA2; LARP7; MCCC2; SPG11
CDH23,OLI265,Usher syndrome type 1,H35.5,CDH23; PCDH15
PCDH15,OLI265,Usher syndrome type 1,H35.5,CDH23; PCDH15
PCDH15,OLI266,Usher syndrome type 1,H35.5,CDH23; PCDH15
CDH23,OLI266,Usher syndrome type 1,H35.5,CDH23; PCDH15
CDH23,OLI267,Usher syndrome type 1,H35.5,CDH23; PCDH15
PCDH15,OLI267,Usher syndrome type 1,H35.5,CDH23; PCDH15
DSC2,OLI268,Arrhythmogenic right ventricular cardiomyopathy,I42.8,DSC2; DSG2; MYH6
DSC2,OLI268,Hypertrophic cardiomyopathy,N.A.,DSC2; DSG2; MYH6
DSG2,OLI268,Arrhythmogenic right ventricular cardiomyopathy,I42.8,DSC2; DSG2; MYH6
DSG2,OLI268,Hypertrophic cardiomyopathy,N.A.,DSC2; DSG2; MYH6
MYH6,OLI268,Arrhythmogenic right ventricular cardiomyopathy,I42.8,DSC2; DSG2; MYH6
MYH6,OLI268,Hypertrophic cardiomyopathy,N.A.,DSC2; DSG2; MYH6
SOD1,OLI269,Amyotrophic lateral sclerosis,G12.2,DAO; SOD1
DAO,OLI269,Amyotrophic lateral sclerosis,G12.2,DAO; SOD1
SETX,OLI270,Amyotrophic lateral sclerosis,G12.2,SETX; SOD1
SOD1,OLI270,Amyotrophic lateral sclerosis,G12.2,SETX; SOD1
C9orf72,OLI271,Amyotrophic lateral sclerosis,G12.2,C9orf72; DCTN1
DCTN1,OLI271,Amyotrophic lateral sclerosis,G12.2,C9orf72; DCTN1
C9orf72,OLI272,Amyotrophic lateral sclerosis,G12.2,C9orf72; SQSTM1
SQSTM1,OLI272,Amyotrophic lateral sclerosis,G12.2,C9orf72; SQSTM1
SETX,OLI273,Amyotrophic lateral sclerosis,G12.2,C9orf72; SETX
C9orf72,OLI273,Amyotrophic lateral sclerosis,G12.2,C9orf72; SETX
ANG,OLI274,Amyotrophic lateral sclerosis,G12.2,ANG; VAPB
VAPB,OLI274,Amyotrophic lateral sclerosis,G12.2,ANG; VAPB
SQSTM1,OLI275,Amyotrophic lateral sclerosis,G12.2,ATXN2; SQSTM1
ATXN2,OLI275,Amyotrophic lateral sclerosis,G12.2,ATXN2; SQSTM1
SETX,OLI276,Amyotrophic lateral sclerosis,G12.2,FUS; SETX
FUS,OLI276,Amyotrophic lateral sclerosis,G12.2,FUS; SETX
SETX,OLI277,Amyotrophic lateral sclerosis,G12.2,DCTN1; SETX
DCTN1,OLI277,Amyotrophic lateral sclerosis,G12.2,DCTN1; SETX
FUS,OLI278,Amyotrophic lateral sclerosis,G12.2,ATXN2; FUS
ATXN2,OLI278,Amyotrophic lateral sclerosis,G12.2,ATXN2; FUS
VAPB,OLI279,Amyotrophic lateral sclerosis,G12.2,TARDBP; VAPB
TARDBP,OLI279,Amyotrophic lateral sclerosis,G12.2,TARDBP; VAPB
ANG,OLI280,Amyotrophic lateral sclerosis,G12.2,ANG; DCTN1; SOD1
SOD1,OLI280,Amyotrophic lateral sclerosis,G12.2,ANG; DCTN1; SOD1
DCTN1,OLI280,Amyotrophic lateral sclerosis,G12.2,ANG; DCTN1; SOD1
DCTN1,OLI281,Amyotrophic lateral sclerosis,G12.2,ATXN2; DCTN1; SETX
SETX,OLI281,Amyotrophic lateral sclerosis,G12.2,ATXN2; DCTN1; SETX
ATXN2,OLI281,Amyotrophic lateral sclerosis,G12.2,ATXN2; DCTN1; SETX
SETX,OLI282,Amyotrophic lateral sclerosis,G12.2,SETX; TAF15
TAF15,OLI282,Amyotrophic lateral sclerosis,G12.2,SETX; TAF15
DCTN1,OLI283,Amyotrophic lateral sclerosis,G12.2,DCTN1; FIG4; SETX
SETX,OLI283,Amyotrophic lateral sclerosis,G12.2,DCTN1; FIG4; SETX
FIG4,OLI283,Amyotrophic lateral sclerosis,G12.2,DCTN1; FIG4; SETX
OGG1,OLI284,Familial adenomatous polyposis,D12.6,APC; EXO1; OGG1; POLQ
APC,OLI284,Familial adenomatous polyposis,D12.6,APC; EXO1; OGG1; POLQ
POLQ,OLI284,Familial adenomatous polyposis,D12.6,APC; EXO1; OGG1; POLQ
EXO1,OLI284,Familial adenomatous polyposis,D12.6,APC; EXO1; OGG1; POLQ
PROKR2,OLI285,Kallmann syndrome,E23.0,PROKR2; SEMA3A
SEMA3A,OLI285,Kallmann syndrome,E23.0,PROKR2; SEMA3A
SEMA3A,OLI286,Kallmann syndrome,E23.0,PROKR2; SEMA3A
PROKR2,OLI286,Kallmann syndrome,E23.0,PROKR2; SEMA3A
SEMA3A,OLI287,Kallmann syndrome,E23.0,PROK2; SEMA3A
PROK2,OLI287,Kallmann syndrome,E23.0,PROK2; SEMA3A
SEMA3A,OLI288,Kallmann syndrome,E23.0,FGFR1; SEMA3A
FGFR1,OLI288,Kallmann syndrome,E23.0,FGFR1; SEMA3A
SEMA3A,OLI289,Kallmann syndrome,E23.0,ANOS1; SEMA3A
ANOS1,OLI289,Kallmann syndrome,E23.0,ANOS1; SEMA3A
MAPK7,OLI290,Adolescent idiopathic scoliosis,M41.1,CNTNAP2; MAPK7
CNTNAP2,OLI290,Adolescent idiopathic scoliosis,M41.1,CNTNAP2; MAPK7
FBN2,OLI291,Adolescent idiopathic scoliosis,M41.1,FBN2; RPGRIP1L
RPGRIP1L,OLI291,Adolescent idiopathic scoliosis,M41.1,FBN2; RPGRIP1L
TTC26,OLI292,Adolescent idiopathic scoliosis,M41.1,FLNB; TTC26
FLNB,OLI292,Adolescent idiopathic scoliosis,M41.1,FLNB; TTC26
FLNB,OLI293,Adolescent idiopathic scoliosis,M41.1,FLNB; PTK7
PTK7,OLI293,Adolescent idiopathic scoliosis,M41.1,FLNB; PTK7
TTC26,OLI294,Adolescent idiopathic scoliosis,M41.1,FLNB; TTC26
FLNB,OLI294,Adolescent idiopathic scoliosis,M41.1,FLNB; TTC26
IFT122,OLI295,Adolescent idiopathic scoliosis,M41.1,FLNB; IFT122
FLNB,OLI295,Adolescent idiopathic scoliosis,M41.1,FLNB; IFT122
FLNB,OLI296,Adolescent idiopathic scoliosis,M41.1,COL11A2; FLNB; PTK7
COL11A2,OLI296,Adolescent idiopathic scoliosis,M41.1,COL11A2; FLNB; PTK7
PTK7,OLI296,Adolescent idiopathic scoliosis,M41.1,COL11A2; FLNB; PTK7
FBN1,OLI297,Adolescent idiopathic scoliosis,M41.1,FBN1; SLC39A8
SLC39A8,OLI297,Adolescent idiopathic scoliosis,M41.1,FBN1; SLC39A8
FLNB,OLI298,Adolescent idiopathic scoliosis,M41.1,FLNB; OFD1
OFD1,OLI298,Adolescent idiopathic scoliosis,M41.1,FLNB; OFD1
AR,OLI299,Non-syndromic posterior hypospadias,Q54.2,AR; HOXB6; MAMLD1
HOXB6,OLI299,Non-syndromic posterior hypospadias,Q54.2,AR; HOXB6; MAMLD1
MAMLD1,OLI299,Non-syndromic posterior hypospadias,Q54.2,AR; HOXB6; MAMLD1
SRD5A2,OLI300,Non-syndromic posterior hypospadias,Q54.2,HSD3B2; SRD5A2
HSD3B2,OLI300,Non-syndromic posterior hypospadias,Q54.2,HSD3B2; SRD5A2
ABCC6,OLI301,Pseudoxanthoma elasticum,Q82.8,ABCC6; GGCX
GGCX,OLI301,Pseudoxanthoma elasticum,Q82.8,ABCC6; GGCX
RNF216,OLI302,Cerebellar ataxia-hypogonadism syndrome,G11.8,OTUD4; RNF216
OTUD4,OLI302,Cerebellar ataxia-hypogonadism syndrome,G11.8,OTUD4; RNF216
LRP5,OLI303,Familial exudative vitreoretinopathy,H35.0,FZD4; LRP5
FZD4,OLI303,Familial exudative vitreoretinopathy,H35.0,FZD4; LRP5
FZD4,OLI304,Familial exudative vitreoretinopathy,H35.0,FZD4; LRP5
LRP5,OLI304,Familial exudative vitreoretinopathy,H35.0,FZD4; LRP5
FZD4,OLI305,Familial exudative vitreoretinopathy,H35.0,FZD4; LRP5
LRP5,OLI305,Familial exudative vitreoretinopathy,H35.0,FZD4; LRP5
FZD4,OLI306,Familial exudative vitreoretinopathy,H35.0,FZD4; LRP5
LRP5,OLI306,Familial exudative vitreoretinopathy,H35.0,FZD4; LRP5
FZD4,OLI307,Familial exudative vitreoretinopathy,H35.0,FZD4; LRP5
LRP5,OLI307,Familial exudative vitreoretinopathy,H35.0,FZD4; LRP5
LRP5,OLI308,Familial exudative vitreoretinopathy,H35.0,FZD4; LRP5
FZD4,OLI308,Familial exudative vitreoretinopathy,H35.0,FZD4; LRP5
LRP5,OLI309,Familial exudative vitreoretinopathy,H35.0,FZD4; LRP5
FZD4,OLI309,Familial exudative vitreoretinopathy,H35.0,FZD4; LRP5
TSPAN12,OLI310,Familial exudative vitreoretinopathy,H35.0,LRP5; TSPAN12
LRP5,OLI310,Familial exudative vitreoretinopathy,H35.0,LRP5; TSPAN12
TSPAN12,OLI311,Familial exudative vitreoretinopathy,H35.0,LRP5; TSPAN12
LRP5,OLI311,Familial exudative vitreoretinopathy,H35.0,LRP5; TSPAN12
ZNF408,OLI312,Familial exudative vitreoretinopathy,H35.0,FZD4; ZNF408
FZD4,OLI312,Familial exudative vitreoretinopathy,H35.0,FZD4; ZNF408
FZD4,OLI313,Familial exudative vitreoretinopathy,H35.0,FZD4; ZNF408
ZNF408,OLI313,Familial exudative vitreoretinopathy,H35.0,FZD4; ZNF408
NDP,OLI314,Familial exudative vitreoretinopathy,H35.0,NDP; ZNF408
ZNF408,OLI314,Familial exudative vitreoretinopathy,H35.0,NDP; ZNF408
NDP,OLI315,Familial exudative vitreoretinopathy,H35.0,LRP5; NDP
LRP5,OLI315,Familial exudative vitreoretinopathy,H35.0,LRP5; NDP
EPHA2,OLI316,Pendred syndrome,E07.1,EPHA2; SLC26A4
SLC26A4,OLI316,Pendred syndrome,E07.1,EPHA2; SLC26A4
EPHA2,OLI317,Pendred syndrome,E07.1,EPHA2; SLC26A4
SLC26A4,OLI317,Pendred syndrome,E07.1,EPHA2; SLC26A4
COL4A4,OLI318,Benign familial hematuria,Q87.8,COL4A3; COL4A4; COL4A6
COL4A4,OLI318,Alport syndrome,Q87.8,COL4A3; COL4A4; COL4A6
COL4A3,OLI318,Benign familial hematuria,Q87.8,COL4A3; COL4A4; COL4A6
COL4A3,OLI318,Alport syndrome,Q87.8,COL4A3; COL4A4; COL4A6
COL4A6,OLI318,Benign familial hematuria,Q87.8,COL4A3; COL4A4; COL4A6
COL4A6,OLI318,Alport syndrome,Q87.8,COL4A3; COL4A4; COL4A6
COL4A4,OLI319,Benign familial hematuria,Q87.8,COL4A3; COL4A4
COL4A3,OLI319,Benign familial hematuria,Q87.8,COL4A3; COL4A4
CD2AP,OLI320,Genetic steroid-resistant nephrotic syndrome,N04,CD2AP; NPHS2
NPHS2,OLI320,Genetic steroid-resistant nephrotic syndrome,N04,CD2AP; NPHS2
NPHS2,OLI321,Genetic steroid-resistant nephrotic syndrome,N04,NPHS1; NPHS2
NPHS1,OLI321,Genetic steroid-resistant nephrotic syndrome,N04,NPHS1; NPHS2
BBS2,OLI322,Bardet-Biedl syndrome,Q87.8,BBS12; BBS2; INPP5E
BBS12,OLI322,Bardet-Biedl syndrome,Q87.8,BBS12; BBS2; INPP5E
INPP5E,OLI322,Bardet-Biedl syndrome,Q87.8,BBS12; BBS2; INPP5E
BBS12,OLI323,Bardet-Biedl syndrome,Q87.8,BBS1; BBS12
BBS1,OLI323,Bardet-Biedl syndrome,Q87.8,BBS1; BBS12
BBS1,OLI324,Bardet-Biedl syndrome,Q87.8,BBS1; BBS10; CEP290
CEP290,OLI324,Bardet-Biedl syndrome,Q87.8,BBS1; BBS10; CEP290
BBS10,OLI324,Bardet-Biedl syndrome,Q87.8,BBS1; BBS10; CEP290
BBS4,OLI325,Bardet-Biedl syndrome,Q87.8,BBS2; BBS4; TTC8
TTC8,OLI325,Bardet-Biedl syndrome,Q87.8,BBS2; BBS4; TTC8
BBS2,OLI325,Bardet-Biedl syndrome,Q87.8,BBS2; BBS4; TTC8
PKD1,OLI326,Autosomal dominant polycystic kidney disease,Q61.2,PKD1; PKD2
PKD2,OLI326,Autosomal dominant polycystic kidney disease,Q61.2,PKD1; PKD2
PKD2,OLI327,Autosomal dominant polycystic kidney disease,Q61.2,PKD1; PKD2
PKD1,OLI327,Autosomal dominant polycystic kidney disease,Q61.2,PKD1; PKD2
ARHGEF28,OLI328,Amyotrophic lateral sclerosis,G12.2,ARHGEF28; AVPR2; EPHB3; FAM170A; POU2F1; RDX; SOD1
POU2F1,OLI328,Amyotrophic lateral sclerosis,G12.2,ARHGEF28; AVPR2; EPHB3; FAM170A; POU2F1; RDX; SOD1
RDX,OLI328,Amyotrophic lateral sclerosis,G12.2,ARHGEF28; AVPR2; EPHB3; FAM170A; POU2F1; RDX; SOD1
AVPR2,OLI328,Amyotrophic lateral sclerosis,G12.2,ARHGEF28; AVPR2; EPHB3; FAM170A; POU2F1; RDX; SOD1
